hostname,packagechecks,,,,limitchecks,,,systemchecks,,
whosoadev01.who.int,name,version,architecture,comment,name,value,comment,name,value,comment
***,binutils,"2.27
","x86
",Y,nofile,65536,PASS,net.core.rmem_max,4192608,PASS
***,compat-libcap1,"1.10
","x86
",Y,nproc,32768,PASS,net.core.wmem_max,4192608,PASS
***,compat-libstdc++,N/A,N/A,N,,,,kernel.shmall,1.84E+19,PASS
IF THERE ARE BLANK,compat-libstdc++,N/A,N/A,N,,,,kernel.shmmax,1.84E+19,PASS
SPACES BUT THE,gcc,"4.8.5
","x86
",Y,,,,kernel.msgmax,8192,FAIL
COMMENT IS Y OR,gcc-c++,"4.8.5
","x86
",Y,,,,kernel.msgmnb,16384,FAIL
PASS THEN PRESS,glibc,"2.17
2.17
","i686
x86
",Y,,,,vm.swappiness,10,PASS
<CTRL> <A> &,glibc,"2.17
2.17
","i686
x86
",Y,,,,,,
DOUBLE CLICK ON,glibc-devel,"2.17
2.17
","i686
x86
",Y,,,,,,
THE EDGE OF ANY ROW,libaio,"0.3.109
0.3.109
","i686
x86
",Y,,,,,,
OR COLUMN TO VIEW,libaio-devel,"0.3.109
","x86
",Y,,,,,,
DETAILS,libgcc,"4.8.5
4.8.5
","x86
i686
",Y,,,,,,
***,libgcc,"4.8.5
4.8.5
","x86
i686
",Y,,,,,,
***,libstdc++,"4.8.5
4.8.5
","i686
x86
",Y,,,,,,
***,libstdc++,"4.8.5
4.8.5
","i686
x86
",Y,,,,,,
,libstdc++-devel,"4.8.5
4.8.5
","i686
x86
",Y,,,,,,
,libXext,"1.3.3
1.3.3
","x86
i686
",Y,,,,,,
,libXext,"1.3.3
1.3.3
","x86
i686
",Y,,,,,,
,libXtst,"1.2.3
1.2.3
","i686
x86
",Y,,,,,,
,libXtst,"1.2.3
1.2.3
","i686
x86
",Y,,,,,,
,openmotif,N/A,N/A,N,,,,,,
,openmotif22,N/A,N/A,N,,,,,,
,sysstat,"10.1.5
","x86
",Y,,,,,,
,zlib,"1.2.7
1.2.7
","x86
i686
",Y,,,,,,
,zlib,"1.2.7
1.2.7
","x86
i686
",Y,,,,,,
,ksh,"20120801
","x86
",Y,,,,,,
,make,"3.82
","x86
",Y,,,,,,
,numactl,N/A,N/A,N,,,,,,
,numactl-devel,N/A,N/A,N,,,,,,
,motif,N/A,N/A,N,,,,,,
,motif-devel,N/A,N/A,N,,,,,,
